PriceList,Catalog,GradeGroup,Price,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30024-94,42,475,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-01,10,850,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-01,20,890,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-01,30,920,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-01,40,950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-01,50,1000,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-01,60,1050,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-01,70,1150,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-01,F,1700,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-01,I,1900,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-02,10,400,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-02,20,420,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-02,30,435,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-02,40,455,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-02,50,475,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-02,60,495,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-02,70,515,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-02,F,825,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-02,I,900,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-03,10,800,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-03,20,840,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-03,30,870,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-03,40,900,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-03,50,950,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-03,60,1000,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-03,70,1100,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-03,F,1650,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-03,I,1850,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-04,10,325,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-04,20,345,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-04,30,360,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-04,40,380,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-04,50,400,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-04,60,420,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-04,70,440,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-04,F,665,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-04,I,725,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-07,10,750,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30095-07,20,790,,,,,,,,,,,,,,,,,,
