,PriceList,Catalog,GradeGroup,Price
497,UFCA 1711E V4,30195-97,F,1675
498,UFCA 1711E V4,30195-97,I,1875
499,UFCA 1711E V4,30195-S3,10,950
500,UFCA 1711E V4,30195-S3,20,990
501,UFCA 1711E V4,30195-S3,30,1020
502,UFCA 1711E V4,30195-S3,40,1050
503,UFCA 1711E V4,30195-S3,50,1100
504,UFCA 1711E V4,30195-S3,60,1150
506,UFCA 1711E V4,30195-S3,F,1800
507,UFCA 1711E V4,30195-S3,I,2000
508,UFCA 1711E V4,30195-01,10,850
509,UFCA 1711E V4,30195-01,20,890
510,UFCA 1711E V4,30195-01,30,920
511,UFCA 1711E V4,30195-01,40,950
512,UFCA 1711E V4,30195-01,50,1000
513,UFCA 1711E V4,30195-01,60,1050
515,UFCA 1711E V4,30195-01,F,1700
516,UFCA 1711E V4,30195-01,I,2000
517,UFCA 1711E V4,30195-02,10,400
518,UFCA 1711E V4,30195-02,20,420
519,UFCA 1711E V4,30195-02,30,435
520,UFCA 1711E V4,30195-02,40,455
521,UFCA 1711E V4,30195-02,50,475
522,UFCA 1711E V4,30195-02,60,495
524,UFCA 1711E V4,30195-02,F,825
525,UFCA 1711E V4,30195-02,I,1000
526,UFCA 1711E V4,30195-03,10,800
527,UFCA 1711E V4,30195-03,20,840
528,UFCA 1711E V4,30195-03,30,870
529,UFCA 1711E V4,30195-03,40,900
530,UFCA 1711E V4,30195-03,50,950
531,UFCA 1711E V4,30195-03,60,1000
533,UFCA 1711E V4,30195-03,F,1650
534,UFCA 1711E V4,30195-03,I,1950
535,UFCA 1711E V4,30195-24,10,350
536,UFCA 1711E V4,30195-24,20,370
537,UFCA 1711E V4,30195-24,30,385
538,UFCA 1711E V4,30195-24,40,405
539,UFCA 1711E V4,30195-24,50,425
540,UFCA 1711E V4,30195-24,60,445
542,UFCA 1711E V4,30195-24,F,690
543,UFCA 1711E V4,30195-24,I,850
544,UFCA 1711E V4,30195-91,10,825
545,UFCA 1711E V4,30195-91,20,865
546,UFCA 1711E V4,30195-91,30,895
547,UFCA 1711E V4,30195-91,40,925
548,UFCA 1711E V4,30195-91,50,975
549,UFCA 1711E V4,30195-91,60,1025
551,UFCA 1711E V4,30195-91,F,1675
552,UFCA 1711E V4,30195-91,I,1975
553,UFCA 1711E V4,30195-S3,10,950
554,UFCA 1711E V4,30195-S3,20,990
555,UFCA 1711E V4,30195-S3,30,1020
556,UFCA 1711E V4,30195-S3,40,1050
557,UFCA 1711E V4,30195-S3,50,1100
558,UFCA 1711E V4,30195-S3,60,1150
560,UFCA 1711E V4,30195-S3,F,1800
561,UFCA 1711E V4,30195-S3,I,2100
562,UFCA 1711E V4,30148-01,10,1300
563,UFCA 1711E V4,30148-01,20,1340
564,UFCA 1711E V4,30148-01,30,1370
565,UFCA 1711E V4,30148-01,40,1400
566,UFCA 1711E V4,30148-01,50,1450
567,UFCA 1711E V4,30148-01,60,1500
569,UFCA 1711E V4,30148-01,F,2150
570,UFCA 1711E V4,30148-01,I,2300
571,UFCA 1711E V4,30148-03,10,1225
572,UFCA 1711E V4,30148-03,20,1265
573,UFCA 1711E V4,30148-03,30,1295
574,UFCA 1711E V4,30148-03,40,1325
575,UFCA 1711E V4,30148-03,50,1375
576,UFCA 1711E V4,30148-03,60,1425
578,UFCA 1711E V4,30148-03,F,2075
579,UFCA 1711E V4,30148-03,I,2225
580,UFCA 1711E V4,30148-07,10,1000
581,UFCA 1711E V4,30148-07,20,1040
582,UFCA 1711E V4,30148-07,30,1070
583,UFCA 1711E V4,30148-07,40,1100
584,UFCA 1711E V4,30148-07,50,1150
585,UFCA 1711E V4,30148-07,60,1200
587,UFCA 1711E V4,30148-07,F,1850
588,UFCA 1711E V4,30148-07,I,2000
589,UFCA 1711E V4,30148-08,10,1000
590,UFCA 1711E V4,30148-08,20,1040
591,UFCA 1711E V4,30148-08,30,1070
592,UFCA 1711E V4,30148-08,40,1100
593,UFCA 1711E V4,30148-08,50,1150
594,UFCA 1711E V4,30148-08,60,1200
596,UFCA 1711E V4,30148-08,F,1850
597,UFCA 1711E V4,30148-08,I,2000
598,UFCA 1711E V4,30148-09,10,600
599,UFCA 1711E V4,30148-09,20,620
600,UFCA 1711E V4,30148-09,30,635
601,UFCA 1711E V4,30148-09,40,670
602,UFCA 1711E V4,30148-09,50,705
603,UFCA 1711E V4,30148-09,60,740
605,UFCA 1711E V4,30148-09,F,1195
606,UFCA 1711E V4,30148-09,I,1300
607,UFCA 1711E V4,30148-10,10,450
608,UFCA 1711E V4,30148-10,20,470
609,UFCA 1711E V4,30148-10,30,485
610,UFCA 1711E V4,30148-10,40,505
611,UFCA 1711E V4,30148-10,50,525
612,UFCA 1711E V4,30148-10,60,545
614,UFCA 1711E V4,30148-10,F,790
615,UFCA 1711E V4,30148-10,I,850
616,UFCA 1711E V4,30148-14,10,950
617,UFCA 1711E V4,30148-14,20,970
618,UFCA 1711E V4,30148-14,30,985
619,UFCA 1711E V4,30148-14,40,1000
620,UFCA 1711E V4,30148-14,50,1020
621,UFCA 1711E V4,30148-14,60,1040
623,UFCA 1711E V4,30148-14,F,1630
624,UFCA 1711E V4,30148-14,I,1750
625,UFCA 1711E V4,30148-15,10,850
626,UFCA 1711E V4,30148-15,20,890
627,UFCA 1711E V4,30148-15,30,920
628,UFCA 1711E V4,30148-15,40,950
629,UFCA 1711E V4,30148-15,50,1000
630,UFCA 1711E V4,30148-15,60,1050
632,UFCA 1711E V4,30148-15,F,1700
633,UFCA 1711E V4,30148-15,I,1850
634,UFCA 1711E V4,30148-16,10,850
635,UFCA 1711E V4,30148-16,20,890
636,UFCA 1711E V4,30148-16,30,920
637,UFCA 1711E V4,30148-16,40,950
638,UFCA 1711E V4,30148-16,50,1000
639,UFCA 1711E V4,30148-16,60,1050
641,UFCA 1711E V4,30148-16,F,1700
642,UFCA 1711E V4,30148-16,I,1850
643,UFCA 1711E V4,30148-35,10,800
644,UFCA 1711E V4,30148-35,20,840
