PriceList,Catalog,GradeGroup,Price,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-09,20,635,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-09,30,650,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-09,40,685,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-09,50,720,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-09,60,755,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-09,70,790,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-09,F,1210,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-09,I,1315,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-10,10,450,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-10,20,470,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-10,30,485,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-10,40,505,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-10,50,525,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-10,60,545,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-10,70,565,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-10,F,790,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-10,I,850,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-11,10,540,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-11,20,560,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-11,30,575,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-11,40,610,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-11,50,645,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-11,60,680,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-11,70,715,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-11,F,1135,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-11,I,1240,,,,,,,,,,,,,,,,,,,,,,,
UFCA 1711E V4,30137-12,10,540,,,,,,,,,,,,,,,,,,,,,,,
