PriceList,Catalog,GradeGroup,Price
UFCA 1711E V4,30195-17,41,nan
UFCA 1711E V4,30195-17,42,nan
UFCA 1711E V4,30195-18,10,825
UFCA 1711E V4,30195-18,20,865
UFCA 1711E V4,30195-18,30,895
UFCA 1711E V4,30195-18,40,925
UFCA 1711E V4,30195-18,50,975
UFCA 1711E V4,30195-18,60,1025
UFCA 1711E V4,30195-18,70,1075
UFCA 1711E V4,30195-18,F,1675.0
UFCA 1711E V4,30195-18,I,1825.0
UFCA 1711E V4,30195-18,41,nan
UFCA 1711E V4,30195-18,42,nan
UFCA 1711E V4,30195-24,10,350
UFCA 1711E V4,30195-24,20,370
UFCA 1711E V4,30195-24,30,385
UFCA 1711E V4,30195-24,40,405
UFCA 1711E V4,30195-24,50,425
UFCA 1711E V4,30195-24,60,445
UFCA 1711E V4,30195-24,70,465
UFCA 1711E V4,30195-24,F,690.0
UFCA 1711E V4,30195-24,I,750.0
UFCA 1711E V4,30195-24,41,nan
UFCA 1711E V4,30195-24,42,nan
UFCA 1711E V4,30195-86,10,975
UFCA 1711E V4,30195-86,20,1015
UFCA 1711E V4,30195-86,30,1045
UFCA 1711E V4,30195-86,40,1075
UFCA 1711E V4,30195-86,50,1125
UFCA 1711E V4,30195-86,60,1175
UFCA 1711E V4,30195-86,70,1225
UFCA 1711E V4,30195-86,F,1825.0
UFCA 1711E V4,30195-86,I,1975.0
UFCA 1711E V4,30195-86,41,nan
UFCA 1711E V4,30195-86,42,nan
UFCA 1711E V4,30195-87,10,975
UFCA 1711E V4,30195-87,20,1015
UFCA 1711E V4,30195-87,30,1045
UFCA 1711E V4,30195-87,40,1075
UFCA 1711E V4,30195-87,50,1125
UFCA 1711E V4,30195-87,60,1175
UFCA 1711E V4,30195-87,70,1225
UFCA 1711E V4,30195-87,F,1825.0
UFCA 1711E V4,30195-87,I,1975.0
UFCA 1711E V4,30195-87,41,nan
UFCA 1711E V4,30195-87,42,nan
UFCA 1711E V4,30195-91,10,875
UFCA 1711E V4,30195-91,20,915
